pop,program,brood,start_brood_year
Grays_CJ,Big Creek Hatchery (Oregon),Grays River (and maybe some from Big Creek?),2010
Grays_CJ,Grays River Hatchery,Grays River,2001
Grays_MS,Big Creek Hatchery (Oregon),Grays River (and maybe some from Big Creek?),2010
Grays_MS,Grays River Hatchery,Grays River,2001
Grays_WF,Big Creek Hatchery (Oregon),Grays River (and maybe some from Big Creek?),2010
Grays_WF,Grays River Hatchery,Grays River,2001
Cascade_MS,Lewis River Hatchery,I-205 (mainstem Columbia),2011
Duncan_Hatchery,Duncan Hatchery,"Duncan Creek, Hamilton Channel, Ives, Multnomah, St. Cloud, Horsetail",2001
Duncan_Channel,Duncan Channel,"Duncan Creek, Hamilton Channel, Ives, Multnomah, St. Cloud, Horsetail",2001
Duncan_Creek,Duncan Hatchery,"Duncan Creek, Hamilton Channel, Ives, Multnomah, St. Cloud, Horsetail",2001
Duncan_Creek,Duncan Channel,"Duncan Creek, Hamilton Channel, Ives, Multnomah, St. Cloud, Horsetail",2001
